"ticker","weight","permno","security_name"
"BRK.A",0.106211317418214,17778,"BERKSHIRE HATHAWAY INC DEL"
"UTX",0.0792440318302387,17830,"UNITED TECHNOLOGIES CORP"
"COF",0.0763704686118479,81055,"CAPITAL ONE FINANCIAL CORP"
"AMZN",0.0754862953138815,84788,"AMAZON COM INC"
"GOOG",0.0697391688770999,14542,"ALPHABET INC"
"BK",0.0649867374005305,49656,"BANK OF NEW YORK MELLON CORP"
"WFC",0.0631078691423519,38703,"WELLS FARGO & CO NEW"
"EDU",0.0581343943412909,91457,"NEW ORIENTAL EDUC & TECH GP INC"
"MKL",0.0576923076923077,10933,"MARKEL CORP"
"GOOGL",0.0551503094606543,90319,"ALPHABET INC"
"FB",0.0479664014146773,13407,"FACEBOOK INC"
"JPM",0.0463085764809903,47896,"JPMORGAN CHASE & CO"
"AXP",0.0410035366931919,59176,"AMERICAN EXPRESS CO"
"USB",0.0400088417329797,66157,"U S BANCORP DEL"
"APA",0.0335985853227233,39490,"APACHE CORP"
"BABA",0.0260831122900088,14888,"ALIBABA GROUP HOLDING LTD"
"DGX",0.0249778956675508,84373,"QUEST DIAGNOSTICS INC"
"INTC",0.021551724137931,59328,"INTEL CORP"
"BAC",0.0123784261715296,59408,"BANK OF AMERICA CORP"
