Ticker,SharesOut,ZacksSector,Beta,Price,Name
A,310.18,Computer and Technology,1.42,85.31,"Agilent Technologies, Inc."
AA,185.57,Industrial Products,1.45,21.51,Alcoa Corp.
AACAY,1218,Computer and Technology,1.13,8.67,AAC Technologies Holdings Inc.
AACG,24.32,Consumer Discretionary,2.24,1.3609,ATA Inc.
AACH,25.22,Medical,2.61,0.5399,"AAC Holdings, Inc."
AAGIY,3022.16,Finance,0.96,42.09,AIA GROUP LTD
AAL,438.06,Transportation,1.63,28.68,American Airlines Group Inc.
AAMC,1.6,Finance,1.5,12.35,Altisource Asset Management Corp
AAME,20.48,Finance,0.43,1.97,Atlantic American Corporation
AAN,67.15,Retail-Wholesale,0.38,57.11,"Aaron's,  Inc."
AAOI,20.12,Computer and Technology,2.19,11.88,"Applied Optoelectronics, Inc."
AAON,52.1,Construction,0.94,49.41,"AAON, Inc."
AAP,69.26,Retail-Wholesale,0.84,160.16,"Advance Auto Parts, Inc."
AAPL,4443.27,Computer and Technology,1.25,293.65,Apple Inc.
AAT,59.96,Finance,0.3,45.9,"American Assets Trust, Inc."
AATDF,611.28,Finance,0.79,0.7425,AA PLC
AAU,111.73,Basic Materials,-0.17,0.589,"Almaden Minerals, Ltd."
AAVVF,186.9,Oils-Energy,1.17,2.1117,Advantage Oil & Gas Ltd
AAWW,25.87,Transportation,2.2,27.57,Atlas Air Worldwide Holdings
AAXN,59.34,Industrial Products,0.77,73.28,"Axon Enterprise, Inc"
AB,95.99,Finance,1.19,30.26,AllianceBernstein Holding L.P.
ABB,2138.61,Industrial Products,1.19,24.09,ABB Ltd
ABBV,1478.82,Medical,0.97,88.54,AbbVie Inc.
ABC,205.92,Medical,0.96,85.02,AmerisourceBergen Corporation
ABCB,69.66,Finance,1.48,42.54,Ameris Bancorp
ABCE,66.44,Computer and Technology,2.6,0.002,"ABCO Energy, Inc."
ABCP,40.74,Finance,1.13,0.26,AmBase Corp.
ABCZY,204.96,Medical,1.55,18.2,Abcam PLC Unsponsored ADR
ABDC,12.88,Finance,0.55,9.05,Alcentra Capital Corp.
ABEO,51.15,Medical,2.13,3.27,Abeona Therapeutics Inc.
ABEV,15727.21,Consumer Staples,0.71,4.66,Ambev S.A.
ABG,19.35,Retail-Wholesale,1.21,111.79,"Asbury Automotive Group, Inc."
ABGLF,410.09,Basic Materials,0.14,3.09,Acacia Mining PLC
ABILF,6.3,Computer and Technology,0.25,0.3195,Ability Inc.
ABIO,1.59,Medical,1.98,5.7107,"ARCA biopharma, Inc."
ABLT,0.03,Construction,0.33,405,American Biltrite Inc.
ABM,66.59,Business Services,0.63,37.71,ABM Industries Incorporated
ABMC,32.68,Medical,0.67,0.07,American Bio Medica Corp.
ABMD,45.15,Medical,0.28,170.59,"ABIOMED, Inc."
ABMT,69.88,Medical,1.47,0.1,"Advanced Biomedical Technologies, Inc."
ABR,109.71,Finance,0.62,14.35,Arbor Realty Trust
ABT,1768.46,Medical,1.12,86.86,Abbott Laboratories
ABTX,20.81,Finance,1.42,37.6,"Allegiance Bancshares, Inc."
ABUS,62.11,Medical,1.98,2.78,Arbutus Biopharma Corporation
ABVC,19.48,Medical,0.39,4.37,Ecology Coatings Inc.
ABWN,4862.69,Computer and Technology,0.76,0.0001,Airborne Wireless Network
AC,22.49,Finance,1.09,39.2,"Associated Capital Group, Inc."
ACA,48.39,Construction,0.44,44.55,"Arcosa, Inc."
ACAD,154.02,Medical,2.78,42.78,ACADIA Pharmaceuticals Inc.
ACB,1089.51,Medical,1.97,2.16,Aurora Cannabis Inc.
ACBI,21.89,Finance,0.98,18.35,"Atlantic Capital Bancshares, Inc."
ACC,137.4,Finance,0.34,47.03,American Campus Communities Inc
ACCA,41.78,Retail-Wholesale,-1.45,0.094,Acacia Diversified Holdings Inc.
ACCO,96.99,Industrial Products,1.75,9.36,Acco Brands Corporation
ACDVF,264.82,Transportation,,37.3484,Air Canada
ACEL,81.64,Consumer Discretionary,0.12,12.5,TPG Pace Holdings Corp.
ACER,10.1,Medical,1.61,4.01,"Opexa Therapeutics, Inc."
ACETQ,30.84,Medical,1.54,0.1147,Aceto Corporation
ACFN,39.59,Computer and Technology,2.22,0.37,Acorn Energy Inc.
ACGBY,13999.32,Finance,1.16,10.99,Agri Bank China
ACGL,405.31,Finance,0.63,42.89,Arch Capital Group Ltd.
ACH,680.91,Basic Materials,0.99,8.69,Aluminum Corporation of China Limited
ACHC,88.57,Medical,0.69,33.22,"Acadia Healthcare Company, Inc."
ACHN,140.05,Medical,1.6,6.03,"Achillion Pharmaceuticals, Inc."
ACHV,8.35,Medical,1.73,0.5299,"Achieve Life Sciences, Inc."
ACIA,41.27,Computer and Technology,1.71,67.81,"Acacia Communications, Inc."
ACIU,67.56,Medical,0.36,8.52,AC Immune  SA
ACIW,115.6,Computer and Technology,1.35,37.885,"ACI Worldwide, Inc."
ACLS,32.42,Computer and Technology,1.39,24.095,"Axcelis Technologies, Inc."
ACM,157.09,Construction,1.75,43.13,AECOM
ACMR,16.33,Computer and Technology,-0.44,18.45,"ACM Research, Inc."
ACMT,0.83,Finance,0.24,31.58,Acmat Corp.
ACMTA,0.83,Finance,0.21,32.4,Acmat Corp.
ACN,635.67,Business Services,1.05,210.57,Accenture PLC
ACNB,7.07,Finance,0.18,37.82,ACNB Corporation
ACOR,48.03,Medical,1.26,2.04,"Acorda Therapeutics, Inc."
ACRE,28.87,Finance,0.58,15.84,Ares Commercial Real Estate Corporation
ACRS,41.39,Medical,0.99,1.89,"Aclaris Therapeutics, Inc."
